"","tt.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","low"
"7","increasing"
"8","increasing"
"9","increasing"
"10","increasing"
"11","increasing"
"12","increasing"
"13","increasing"
"14","increasing"
"15","increasing"
"16","increasing"
"17","high"
"18","decreasing"
"19","decreasing"
"20","decreasing"
"21","decreasing"
"22","decreasing"
"23","decreasing"
"24","decreasing"
"25","decreasing"
"26","decreasing"
"27","decreasing"
"28","low"
"29","low"
"30","low"
"31","low"
"32","low"
"33","increasing"
"34","increasing"
"35","increasing"
"36","increasing"
"37","increasing"
"38","increasing"
"39","increasing"
"40","increasing"
"41","increasing"
"42","increasing"
"43","increasing"
"44","increasing"
"45","increasing"
"46","increasing"
"47","high"
"48","decreasing"
"49","decreasing"
"50","decreasing"
"51","decreasing"
"52","decreasing"
"53","decreasing"
"54","decreasing"
"55","decreasing"
"56","decreasing"
"57","decreasing"
"58","decreasing"
"59","decreasing"
"60","decreasing"
"61","decreasing"
"62","low"
"63","low"
"64","low"
"65","low"
"66","low"
"67","increasing"
"68","increasing"
"69","increasing"
"70","increasing"
"71","increasing"
"72","high"
"73","decreasing"
"74","decreasing"
"75","decreasing"
"76","decreasing"
"77","decreasing"
"78","decreasing"
"79","decreasing"
"80","low"
"81","low"
"82","low"
"83","low"
"84","low"
"85","low"
"86","low"
"87","low"
"88","low"
"89","low"
"90","low"
"91","low"
"92","increasing"
"93","increasing"
"94","increasing"
"95","increasing"
"96","increasing"
"97","increasing"
"98","increasing"
"99","increasing"
"100","increasing"
"101","increasing"
"102","increasing"
"103","increasing"
"104","increasing"
"105","increasing"
"106","increasing"
"107","high"
"108","decreasing"
"109","decreasing"
"110","decreasing"
"111","decreasing"
"112","decreasing"
"113","decreasing"
"114","decreasing"
"115","decreasing"
"116","decreasing"
"117","low"
"118","low"
"119","low"
"120","low"
"121","low"
"122","low"
"123","low"
"124","low"
"125","low"
"126","low"
"127","low"
"128","low"
"129","low"
"130","low"
"131","increasing"
"132","increasing"
"133","increasing"
"134","increasing"
"135","increasing"
"136","increasing"
"137","increasing"
"138","increasing"
"139","increasing"
"140","increasing"
"141","increasing"
"142","high"
"143","decreasing"
"144","decreasing"
"145","decreasing"
"146","decreasing"
"147","decreasing"
"148","decreasing"
"149","decreasing"
"150","decreasing"
"151","decreasing"
"152","decreasing"
"153","decreasing"
"154","decreasing"
"155","decreasing"
"156","decreasing"
"157","decreasing"
"158","low"
"159","low"
"160","low"
"161","low"
"162","low"
"163","increasing"
"164","increasing"
"165","increasing"
"166","increasing"
"167","increasing"
"168","increasing"
"169","increasing"
"170","increasing"
"171","increasing"
"172","increasing"
"173","increasing"
"174","increasing"
"175","high"
"176","decreasing"
"177","decreasing"
"178","decreasing"
"179","decreasing"
"180","decreasing"
"181","decreasing"
"182","decreasing"
"183","decreasing"
"184","decreasing"
"185","decreasing"
"186","decreasing"
"187","low"
"188","low"
"189","low"
"190","low"
"191","low"
"192","low"
"193","low"
"194","low"
"195","low"
"196","low"
"197","low"
"198","low"
"199","increasing"
"200","increasing"
"201","increasing"
"202","increasing"
"203","increasing"
"204","increasing"
"205","high"
"206","decreasing"
"207","decreasing"
"208","decreasing"
"209","decreasing"
"210","decreasing"
"211","decreasing"
"212","low"
"213","low"
"214","low"
"215","low"
"216","low"
"217","low"
"218","low"
"219","low"
"220","low"
"221","low"
"222","low"
"223","low"
"224","low"
"225","low"
"226","increasing"
"227","increasing"
"228","increasing"
"229","increasing"
"230","increasing"
"231","increasing"
"232","increasing"
"233","increasing"
"234","high"
"235","decreasing"
"236","decreasing"
"237","decreasing"
"238","decreasing"
"239","decreasing"
"240","decreasing"
"241","decreasing"
"242","decreasing"
"243","decreasing"
"244","decreasing"
"245","decreasing"
"246","decreasing"
"247","decreasing"
"248","decreasing"
"249","low"
"250","low"
"251","low"
"252","low"
"253","low"
"254","low"
"255","low"
"256","low"
"257","low"
"258","low"
"259","low"
"260","low"
"261","increasing"
"262","increasing"
"263","increasing"
"264","increasing"
"265","increasing"
"266","increasing"
"267","increasing"
"268","increasing"
"269","increasing"
"270","increasing"
"271","increasing"
"272","increasing"
"273","increasing"
"274","increasing"
"275","increasing"
"276","high"
"277","decreasing"
"278","decreasing"
"279","decreasing"
"280","decreasing"
"281","decreasing"
"282","decreasing"
"283","decreasing"
"284","decreasing"
"285","decreasing"
"286","low"
"287","low"
"288","low"
"289","low"
"290","low"
"291","low"
"292","low"
"293","increasing"
"294","increasing"
"295","increasing"
"296","increasing"
"297","increasing"
"298","increasing"
"299","increasing"
"300","increasing"
