"","tt.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","low"
"7","low"
"8","low"
"9","low"
"10","low"
"11","low"
"12","low"
"13","low"
"14","low"
"15","increasing"
"16","increasing"
"17","increasing"
"18","increasing"
"19","increasing"
"20","increasing"
"21","increasing"
"22","increasing"
"23","increasing"
"24","increasing"
"25","increasing"
"26","high"
"27","decreasing"
"28","decreasing"
"29","decreasing"
"30","decreasing"
"31","decreasing"
"32","decreasing"
"33","decreasing"
"34","decreasing"
"35","decreasing"
"36","decreasing"
"37","decreasing"
"38","decreasing"
"39","decreasing"
"40","decreasing"
"41","decreasing"
"42","low"
"43","low"
"44","low"
"45","low"
"46","low"
"47","low"
"48","low"
"49","low"
"50","low"
"51","low"
"52","low"
"53","low"
"54","low"
"55","low"
"56","low"
"57","increasing"
"58","increasing"
"59","increasing"
"60","increasing"
"61","increasing"
"62","high"
"63","decreasing"
"64","decreasing"
"65","decreasing"
"66","decreasing"
"67","decreasing"
"68","decreasing"
"69","low"
"70","low"
"71","low"
"72","low"
"73","low"
"74","low"
"75","increasing"
"76","increasing"
"77","increasing"
"78","increasing"
"79","increasing"
"80","increasing"
"81","increasing"
"82","increasing"
"83","increasing"
"84","increasing"
"85","high"
"86","decreasing"
"87","decreasing"
"88","decreasing"
"89","decreasing"
"90","decreasing"
"91","decreasing"
"92","decreasing"
"93","decreasing"
"94","decreasing"
"95","decreasing"
"96","low"
"97","low"
"98","low"
"99","low"
"100","low"
"101","increasing"
"102","increasing"
"103","increasing"
"104","increasing"
"105","increasing"
"106","increasing"
"107","increasing"
"108","increasing"
"109","increasing"
"110","increasing"
"111","increasing"
"112","increasing"
"113","increasing"
"114","increasing"
"115","high"
"116","decreasing"
"117","decreasing"
"118","decreasing"
"119","decreasing"
"120","decreasing"
"121","decreasing"
"122","decreasing"
"123","decreasing"
"124","decreasing"
"125","decreasing"
"126","decreasing"
"127","decreasing"
"128","decreasing"
"129","decreasing"
"130","low"
"131","low"
"132","low"
"133","low"
"134","low"
"135","increasing"
"136","increasing"
"137","increasing"
"138","increasing"
"139","increasing"
"140","high"
"141","decreasing"
"142","decreasing"
"143","decreasing"
"144","decreasing"
"145","decreasing"
"146","decreasing"
"147","decreasing"
"148","low"
"149","low"
"150","low"
"151","low"
"152","low"
"153","low"
"154","low"
"155","low"
"156","low"
"157","low"
"158","low"
"159","low"
"160","increasing"
"161","increasing"
"162","increasing"
"163","increasing"
"164","increasing"
"165","increasing"
"166","increasing"
"167","increasing"
"168","increasing"
"169","increasing"
"170","increasing"
"171","increasing"
"172","increasing"
"173","increasing"
"174","increasing"
"175","high"
"176","decreasing"
"177","decreasing"
"178","decreasing"
"179","decreasing"
"180","decreasing"
"181","decreasing"
"182","decreasing"
"183","decreasing"
"184","decreasing"
"185","low"
"186","low"
"187","low"
"188","low"
"189","low"
"190","low"
"191","low"
"192","low"
"193","low"
"194","low"
"195","low"
"196","low"
"197","low"
"198","low"
"199","increasing"
"200","increasing"
"201","increasing"
"202","increasing"
"203","increasing"
"204","increasing"
"205","increasing"
"206","increasing"
"207","increasing"
"208","increasing"
"209","increasing"
"210","high"
"211","decreasing"
"212","decreasing"
"213","decreasing"
"214","decreasing"
"215","decreasing"
"216","decreasing"
"217","decreasing"
"218","decreasing"
"219","decreasing"
"220","decreasing"
"221","decreasing"
"222","decreasing"
"223","decreasing"
"224","decreasing"
"225","decreasing"
"226","low"
"227","low"
"228","low"
"229","low"
"230","low"
"231","increasing"
"232","increasing"
"233","increasing"
"234","increasing"
"235","increasing"
"236","increasing"
"237","increasing"
"238","increasing"
"239","increasing"
"240","increasing"
"241","increasing"
"242","increasing"
"243","high"
"244","decreasing"
"245","decreasing"
"246","decreasing"
"247","decreasing"
"248","decreasing"
"249","decreasing"
"250","decreasing"
"251","decreasing"
"252","decreasing"
"253","decreasing"
"254","decreasing"
"255","low"
"256","low"
"257","low"
"258","low"
"259","low"
"260","low"
"261","low"
"262","low"
"263","low"
"264","low"
"265","low"
"266","low"
"267","increasing"
"268","increasing"
"269","increasing"
"270","increasing"
"271","increasing"
"272","increasing"
"273","high"
"274","decreasing"
"275","decreasing"
"276","decreasing"
"277","decreasing"
"278","decreasing"
"279","decreasing"
"280","low"
"281","low"
"282","low"
"283","low"
"284","low"
"285","low"
"286","low"
"287","low"
"288","low"
"289","low"
"290","low"
"291","low"
"292","low"
"293","low"
"294","increasing"
"295","increasing"
"296","increasing"
"297","increasing"
"298","increasing"
"299","increasing"
"300","increasing"
